1: 김진석 : 크고딩때맨날몬스터베이비사먹었는데.몬스터베이비장성한것보소
2: 동하 : 장첸먹는척만함ㅋㅋ
3: eikoS : 저정돈아니어도ㅈㄴ크던데?ㅋㅋ맛잇게먹엇다꺼ㅡ억
4: 떠망떠망 : 솔까저정도로크진않은데다른프랜차이즈버거보단존내큼ㅋㅋㅋㅋㅋㅋ세트하나하면배터짐
5: 이지석 : 이건버거가큰게아니라얼굴이작음거임
6: 아무거나 : 먹어봤는데양이넘많드라ㄷㄷ먹을만하긴함
7: ᅵᅵᅵᅵᅵᅵ : 이거진짜개꿀맛ㅋㅋㅋ
8: Na.Yun-homan : 이제종로2가안가도되겠네이제종암동에새로생긴버거킹갔다가,요거사먹어야지
9: 첫바풍 : 썸네일실화?엌ㅋㅋㅋㅋㅋ
10: 김씨황씨TV : 너무커!ㅋㅋㅋ
11: 옹야 : 진짜저렇게얼굴파묻고먹을수있음??
12: InsungJo : 방금먹었는데이거맛있슴
13: SUNGMIYOON : 이거지짜맛있는데!!핵맛
14: 안녕하세요 : 미국인줄ㅋㅋㅋㅋ
15: SejinLee : 호오맛있겟다ㅠㅠ
16: 익명 : 와ㅂㄷㄷ♥
17: DagyeomLee : 믿고먹는버거!!!!!!!!!힝힝넘나기다렸음ㅠㅠㅠ괴물버거왕왕머글테다!!!!!!!!
18: 요썬업 : 몬스터와퍼존맛ㅋㅋㅋ해장할때꿀이던데맥날보다훠~얼씬괜찮던데
19: 김조이 : 퀄리티보소ㅋㅋㅋ...아찔해새로워...치명적이야
20: 찌예는네짤[쥰] : 하하...하하하하하핳..
21: mashmero : 몬스터베이비상위호환ㅋㅋㅋ이걸로고기한번에다먹을수있어서더좋음
22: 진명종 : 버거킹맛있어요!
23: 식기세척기식 : 저거먹어봤는데맛없던데
24: 박모퉁이 : 설마..저렇게놀랬을라구~
25: JudyJang : 윤계상♡♡♡♡♡♡♡
26: &0011 : ㅋㅋㅋ버거킹몬스터와퍼게임에음식으로있는데
27: AAHH : 난이거존맛이던데ㅋㅋㅋ이거세트로시켰는데배불러서남김자존심상해더분발해야지
28: {dlehdcks}Dclee6170 : 댓글광고실홥니까ㅋㅋㅋ
29: CaptainJurgh캡틴져 : 썸네일이마치버거냄새를강렬하게맏는것처럼보이는데ㅋㅋㅋㅋㅋㅋㅋㅋ
30: 구독하면여친생김 : 윤계상이~
31: ㅤㅤㅤㅤ슈 : 약간클거같은데허위같아요ㅜㅜ
32: 조성균 : 듀랑고이벤트음식에나오는데ㅋㅋㅋㅋ
33: MIRI미리 : 헐....대박크다..
34: 김성민 : 이미먹어봄ㅋㅋ
35: 참진리 : 햄버거무섭다왠지!!!!진짜!!!!
36: _사멀 : 와..디게크당...
37: 디스페어 : 맛있겠다ㅎㄷㄷ
38: 왈왈 : 맛았겠다1표.....😋
39: 오승준 : 개꿀맛이겠다
40: HeYoungKang : 소스도맛있고양도많음ㅎㅎ
41: 블루하트 : 저게햄버거크기냐...진짜이름그대로몬스터네
42: SimonYu : 맛있음ㅇㅇ'ㅅ'b
43: 하하하핳 : 이거벌써2번먹어봤는데아주훌륭
44: 웃음의여왕 : 너무짜고치킨패티맛뿐임
45: 김성진 : 진심역대급버거인듯
46: RichJ : 넘넘맛있었다
47: HmS : 이거ㄹㅇ갓작임
48: 타인 : 입이작아서안들어가요...
49: 123123 : 광고보고바로시켜먹어봤는데나름맛있었음
50: 박형민 : 솔직히맛있었다ㅋ
51: LeechanG : 2018?
52: hea데헷 : 매장수좀늘려~~!!먹을려면번하가까지가야해!!!
53: 천날 : ㄹㅇ포크나이프로썰어먹어야겠다
54: 이이 : 진짜개맛있음;
55: 형명 : 저크기면대체얼마여?
56: 김태희 : 같은가격에롯데는크기와맛이안나옴절때로!!!!믿거롯ㅋㅋ
57: 김치타 : 꼭먹어볼거다!!!
58: 김찬 : ㅈㄴ맛있겠다
59: 칠천피트 : 몬스터와퍼쥬니어는아래패티잘안보임
60: 김재복 : 어서먹으러가보쟈!!!
61: RachelCucu : 어제심야보기전에몬스터팩2먹었는데진심존맛탱><!!오졌다리ㅠㅠ생각보다몬스터뭐가가득들어서짱커요ㅋㅋ;약간,트러플은크리미한파스타소스먹는기분이라면몬스터는매콤한한식느낌.트러플한입+몬스터한입고고씽ㅋㅋㅋ
62: inB : 넌무조건먹는다!
63: 권상우앨런워커사랑해요!! : 으어바로밑이버거킹이여ㅋㅋㅋ롯데케슬개꿀
64: 허진도 : 저큰걸어케먹어요ᆢ
65: 나는짱나는최고 : 그래서맛있냐
66: mason : 매번콰트로치즈와퍼만먹었는데몬스터와퍼개져아양도딱적당하고ㅎㅎ(다이어트실패,,,,ㅠ)
67: gosarinamul : 디아블로소스..
68: LeeWookho : 오늘은너로정했다!!!!버거의대왕!!!!
69: 이재성 : 하배곱아
